study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	library_strategy	read_count	base_count	fastq_ftp	submitted_ftp	submitted_format	sra_ftp	sample_alias
PRJNA544527	SAMN11846354	SRX5976943	SRR9205542	328813	Alistipes onderdonkii	WGS	3189480	844289409	ftp.sra.ebi.ac.uk/vol1/fastq/SRR920/002/SRR9205542/SRR9205542_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR920/002/SRR9205542/SRR9205542_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR920/002/SRR9205542	am_0014_0091_c4
PRJNA544527	SAMN11846512	SRX5976942	SRR9205543	817	Bacteroides fragilis	WGS	2869733	718833768	ftp.sra.ebi.ac.uk/vol1/fastq/SRR920/003/SRR9205543/SRR9205543_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR920/003/SRR9205543/SRR9205543_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR920/003/SRR9205543	af_0058_0056_b7
PRJNA544527	SAMN11846513	SRX5976941	SRR9205544	817	Bacteroides fragilis	WGS	3477655	873452829	ftp.sra.ebi.ac.uk/vol1/fastq/SRR920/004/SRR9205544/SRR9205544_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR920/004/SRR9205544/SRR9205544_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR920/004/SRR9205544	af_0058_0056_b8
PRJNA544527	SAMN11846359	SRX5976940	SRR9205545	328813	Alistipes onderdonkii	WGS	1414245	381891162	ftp.sra.ebi.ac.uk/vol1/fastq/SRR920/005/SRR9205545/SRR9205545_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR920/005/SRR9205545/SRR9205545_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR920/005/SRR9205545	am_0014_0091_d10
PRJNA544527	SAMN11846358	SRX5976939	SRR9205546	328813	Alistipes onderdonkii	WGS	3351662	872166724	ftp.sra.ebi.ac.uk/vol1/fastq/SRR920/006/SRR9205546/SRR9205546_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR920/006/SRR9205546/SRR9205546_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR920/006/SRR9205546	am_0014_0091_c9
PRJNA544527	SAMN11846516	SRX5976938	SRR9205547	817	Bacteroides fragilis	WGS	707145	181683188	ftp.sra.ebi.ac.uk/vol1/fastq/SRR920/007/SRR9205547/SRR9205547_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR920/007/SRR9205547/SRR9205547_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR920/007/SRR9205547	af_0058_0056_d9
PRJNA544527	SAMN11846517	SRX5976937	SRR9205548	817	Bacteroides fragilis	WGS	705969	165755253	ftp.sra.ebi.ac.uk/vol1/fastq/SRR920/008/SRR9205548/SRR9205548_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR920/008/SRR9205548/SRR9205548_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR920/008/SRR9205548	af_0058_0056_e10
PRJNA544527	SAMN11846514	SRX5976936	SRR9205549	817	Bacteroides fragilis	WGS	2298082	592623340	ftp.sra.ebi.ac.uk/vol1/fastq/SRR920/009/SRR9205549/SRR9205549_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR920/009/SRR9205549/SRR9205549_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR920/009/SRR9205549	af_0058_0056_b9
PRJNA544527	SAMN11846515	SRX5976935	SRR9205550	817	Bacteroides fragilis	WGS	1066507	276615053	ftp.sra.ebi.ac.uk/vol1/fastq/SRR920/000/SRR9205550/SRR9205550_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR920/000/SRR9205550/SRR9205550_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR920/000/SRR9205550	af_0058_0056_d8
PRJNA544527	SAMN11846129	SRX5976934	SRR9205551	2584611	Akkermansia sp. BIOML-A55	WGS	561142	153545423	ftp.sra.ebi.ac.uk/vol1/fastq/SRR920/001/SRR9205551/SRR9205551_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR920/001/SRR9205551/SRR9205551_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR920/001/SRR9205551	aa_0143_0065_a7
PRJNA544527	SAMN11846128	SRX5976933	SRR9205552	2584610	Akkermansia sp. BIOML-A54	WGS	1881434	508885395	ftp.sra.ebi.ac.uk/vol1/fastq/SRR920/002/SRR9205552/SRR9205552_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR920/002/SRR9205552/SRR9205552_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR920/002/SRR9205552	aa_0143_0065_a5
PRJNA544527	SAMN11846718	SRX5976932	SRR9205553	28116	Bacteroides ovatus	WGS	1045175	283454072	ftp.sra.ebi.ac.uk/vol1/fastq/SRR920/003/SRR9205553/SRR9205553_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR920/003/SRR9205553/SRR9205553_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR920/003/SRR9205553	am_0171_0071_a8
PRJNA544527	SAMN11846719	SRX5976931	SRR9205554	28116	Bacteroides ovatus	WGS	8314721	2238303735	ftp.sra.ebi.ac.uk/vol1/fastq/SRR920/004/SRR9205554/SRR9205554_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR920/004/SRR9205554/SRR9205554_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR920/004/SRR9205554	am_0171_0071_b11
PRJNA544527	SAMN11846710	SRX5976930	SRR9205555	28116	Bacteroides ovatus	WGS	902799	257673699	ftp.sra.ebi.ac.uk/vol1/fastq/SRR920/005/SRR9205555/SRR9205555_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR920/005/SRR9205555/SRR9205555_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR920/005/SRR9205555	am_0171_0066_a9
PRJNA544527	SAMN11846711	SRX5976929	SRR9205556	28116	Bacteroides ovatus	WGS	4182501	1159574027	ftp.sra.ebi.ac.uk/vol1/fastq/SRR920/006/SRR9205556/SRR9205556_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR920/006/SRR9205556/SRR9205556_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR920/006/SRR9205556	am_0171_0066_b9
PRJNA544527	SAMN11846712	SRX5976928	SRR9205557	28116	Bacteroides ovatus	WGS	2944836	816601791	ftp.sra.ebi.ac.uk/vol1/fastq/SRR920/007/SRR9205557/SRR9205557_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR920/007/SRR9205557/SRR9205557_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR920/007/SRR9205557	am_0171_0066_c11
PRJNA544527	SAMN11846713	SRX5976927	SRR9205558	28116	Bacteroides ovatus	WGS	3299576	902952505	ftp.sra.ebi.ac.uk/vol1/fastq/SRR920/008/SRR9205558/SRR9205558_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR920/008/SRR9205558/SRR9205558_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR920/008/SRR9205558	am_0171_0066_c12
PRJNA544527	SAMN11846714	SRX5976926	SRR9205559	28116	Bacteroides ovatus	WGS	2146843	600972797	ftp.sra.ebi.ac.uk/vol1/fastq/SRR920/009/SRR9205559/SRR9205559_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR920/009/SRR9205559/SRR9205559_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR920/009/SRR9205559	am_0171_0066_c9
PRJNA544527	SAMN11846715	SRX5976925	SRR9205560	28116	Bacteroides ovatus	WGS	3320880	934086376	ftp.sra.ebi.ac.uk/vol1/fastq/SRR920/000/SRR9205560/SRR9205560_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR920/000/SRR9205560/SRR9205560_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR920/000/SRR9205560	am_0171_0066_e9
PRJNA544527	SAMN11846716	SRX5976924	SRR9205561	28116	Bacteroides ovatus	WGS	1531073	435170912	ftp.sra.ebi.ac.uk/vol1/fastq/SRR920/001/SRR9205561/SRR9205561_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR920/001/SRR9205561/SRR9205561_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR920/001/SRR9205561	am_0171_0066_g12
PRJNA544527	SAMN11846717	SRX5976923	SRR9205562	28116	Bacteroides ovatus	WGS	1264992	358572987	ftp.sra.ebi.ac.uk/vol1/fastq/SRR920/002/SRR9205562/SRR9205562_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR920/002/SRR9205562/SRR9205562_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR920/002/SRR9205562	am_0171_0066_g8
PRJNA544527	SAMN11847000	SRX5976922	SRR9205563	818	Bacteroides thetaiotaomicron	WGS	2833816	779495053	ftp.sra.ebi.ac.uk/vol1/fastq/SRR920/003/SRR9205563/SRR9205563_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR920/003/SRR9205563/SRR9205563_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR920/003/SRR9205563	af_0058_0083_d2
PRJNA544527	SAMN11846678	SRX5976921	SRR9205564	28116	Bacteroides ovatus	WGS	674927	188529605	ftp.sra.ebi.ac.uk/vol1/fastq/SRR920/004/SRR9205564/SRR9205564_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR920/004/SRR9205564/SRR9205564_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR920/004/SRR9205564	am_0014_0091_h5
PRJNA544527	SAMN11847001	SRX5976920	SRR9205565	818	Bacteroides thetaiotaomicron	WGS	3049801	836994152	ftp.sra.ebi.ac.uk/vol1/fastq/SRR920/005/SRR9205565/SRR9205565_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR920/005/SRR9205565/SRR9205565_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR920/005/SRR9205565	af_0058_0083_d3
PRJNA544527	SAMN11846679	SRX5976919	SRR9205566	28116	Bacteroides ovatus	WGS	3975110	1122267412	ftp.sra.ebi.ac.uk/vol1/fastq/SRR920/006/SRR9205566/SRR9205566_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR920/006/SRR9205566/SRR9205566_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR920/006/SRR9205566	am_0025_0083_e9
PRJNA544527	SAMN11846964	SRX5976918	SRR9205567	818	Bacteroides thetaiotaomicron	WGS	494371	133583976	ftp.sra.ebi.ac.uk/vol1/fastq/SRR920/007/SRR9205567/SRR9205567_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR920/007/SRR9205567/SRR9205567_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR920/007/SRR9205567	af_0058_0077_a5
PRJNA544527	SAMN11846426	SRX5976917	SRR9205568	47678	Bacteroides caccae	WGS	1341103	369359243	ftp.sra.ebi.ac.uk/vol1/fastq/SRR920/008/SRR9205568/SRR9205568_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR920/008/SRR9205568/SRR9205568_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR920/008/SRR9205568	aa_0143_0055_h1
PRJNA544527	SAMN11846427	SRX5976916	SRR9205569	47678	Bacteroides caccae	WGS	3937740	1059585214	ftp.sra.ebi.ac.uk/vol1/fastq/SRR920/009/SRR9205569/SRR9205569_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR920/009/SRR9205569/SRR9205569_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR920/009/SRR9205569	aa_0143_0055_h2
PRJNA544527	SAMN11846424	SRX5976915	SRR9205570	47678	Bacteroides caccae	WGS	1608928	434111327	ftp.sra.ebi.ac.uk/vol1/fastq/SRR920/000/SRR9205570/SRR9205570_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR920/000/SRR9205570/SRR9205570_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR920/000/SRR9205570	aa_0143_0055_g2
PRJNA544527	SAMN11846425	SRX5976914	SRR9205571	47678	Bacteroides caccae	WGS	2174522	582121226	ftp.sra.ebi.ac.uk/vol1/fastq/SRR920/001/SRR9205571/SRR9205571_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR920/001/SRR9205571/SRR9205571_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR920/001/SRR9205571	aa_0143_0055_g3
PRJNA544527	SAMN11846422	SRX5976913	SRR9205572	47678	Bacteroides caccae	WGS	2535933	626463265	ftp.sra.ebi.ac.uk/vol1/fastq/SRR920/002/SRR9205572/SRR9205572_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR920/002/SRR9205572/SRR9205572_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR920/002/SRR9205572	aa_0143_0055_e4
PRJNA544527	SAMN11846423	SRX5976912	SRR9205573	47678	Bacteroides caccae	WGS	3581822	916425686	ftp.sra.ebi.ac.uk/vol1/fastq/SRR920/003/SRR9205573/SRR9205573_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR920/003/SRR9205573/SRR9205573_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR920/003/SRR9205573	aa_0143_0055_f3
PRJNA544527	SAMN11846420	SRX5976911	SRR9205574	47678	Bacteroides caccae	WGS	1704011	432774941	ftp.sra.ebi.ac.uk/vol1/fastq/SRR920/004/SRR9205574/SRR9205574_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR920/004/SRR9205574/SRR9205574_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR920/004/SRR9205574	aa_0143_0055_e1
PRJNA544527	SAMN11846421	SRX5976910	SRR9205575	47678	Bacteroides caccae	WGS	3456027	821130013	ftp.sra.ebi.ac.uk/vol1/fastq/SRR920/005/SRR9205575/SRR9205575_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR920/005/SRR9205575/SRR9205575_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR920/005/SRR9205575	aa_0143_0055_e3
PRJNA544527	SAMN11846428	SRX5976909	SRR9205576	47678	Bacteroides caccae	WGS	376175	106832386	ftp.sra.ebi.ac.uk/vol1/fastq/SRR920/006/SRR9205576/SRR9205576_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR920/006/SRR9205576/SRR9205576_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR920/006/SRR9205576	aa_0143_0065_a9
PRJNA544527	SAMN11846429	SRX5976908	SRR9205577	47678	Bacteroides caccae	WGS	1498153	423821048	ftp.sra.ebi.ac.uk/vol1/fastq/SRR920/007/SRR9205577/SRR9205577_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR920/007/SRR9205577/SRR9205577_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR920/007/SRR9205577	aa_0143_0065_b7
PRJNA544527	SAMN11846066	SRX5976907	SRR9205578	239935	Akkermansia muciniphila	WGS	3105084	847175767	ftp.sra.ebi.ac.uk/vol1/fastq/SRR920/008/SRR9205578/SRR9205578_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR920/008/SRR9205578/SRR9205578_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR920/008/SRR9205578	am_0224_0086_f3
PRJNA544527	SAMN11846067	SRX5976906	SRR9205579	239935	Akkermansia muciniphila	WGS	3016443	824643432	ftp.sra.ebi.ac.uk/vol1/fastq/SRR920/009/SRR9205579/SRR9205579_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR920/009/SRR9205579/SRR9205579_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR920/009/SRR9205579	am_0224_0086_f5
PRJNA544527	SAMN11846064	SRX5976905	SRR9205580	239935	Akkermansia muciniphila	WGS	3667671	962119517	ftp.sra.ebi.ac.uk/vol1/fastq/SRR920/000/SRR9205580/SRR9205580_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR920/000/SRR9205580/SRR9205580_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR920/000/SRR9205580	am_0224_0086_e5
PRJNA544527	SAMN11846065	SRX5976904	SRR9205581	239935	Akkermansia muciniphila	WGS	3706820	960744319	ftp.sra.ebi.ac.uk/vol1/fastq/SRR920/001/SRR9205581/SRR9205581_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR920/001/SRR9205581/SRR9205581_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR920/001/SRR9205581	am_0224_0086_e6
PRJNA544527	SAMN11846062	SRX5976903	SRR9205582	239935	Akkermansia muciniphila	WGS	3296555	827729063	ftp.sra.ebi.ac.uk/vol1/fastq/SRR920/002/SRR9205582/SRR9205582_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR920/002/SRR9205582/SRR9205582_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR920/002/SRR9205582	am_0224_0086_e2
PRJNA544527	SAMN11846063	SRX5976902	SRR9205583	239935	Akkermansia muciniphila	WGS	3242449	852452066	ftp.sra.ebi.ac.uk/vol1/fastq/SRR920/003/SRR9205583/SRR9205583_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR920/003/SRR9205583/SRR9205583_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR920/003/SRR9205583	am_0224_0086_e3
PRJNA544527	SAMN11846060	SRX5976901	SRR9205584	239935	Akkermansia muciniphila	WGS	3565622	944883465	ftp.sra.ebi.ac.uk/vol1/fastq/SRR920/004/SRR9205584/SRR9205584_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR920/004/SRR9205584/SRR9205584_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR920/004/SRR9205584	am_0224_0086_d5
PRJNA544527	SAMN11846061	SRX5976900	SRR9205585	239935	Akkermansia muciniphila	WGS	3592528	957610234	ftp.sra.ebi.ac.uk/vol1/fastq/SRR920/005/SRR9205585/SRR9205585_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR920/005/SRR9205585/SRR9205585_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR920/005/SRR9205585	am_0224_0086_d6
PRJNA544527	SAMN11846670	SRX5976899	SRR9205586	28116	Bacteroides ovatus	WGS	1071539	296743242	ftp.sra.ebi.ac.uk/vol1/fastq/SRR920/006/SRR9205586/SRR9205586_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR920/006/SRR9205586/SRR9205586_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR920/006/SRR9205586	am_0006_0094_h3
PRJNA544527	SAMN11846068	SRX5976898	SRR9205587	239935	Akkermansia muciniphila	WGS	2505207	686973197	ftp.sra.ebi.ac.uk/vol1/fastq/SRR920/007/SRR9205587/SRR9205587_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR920/007/SRR9205587/SRR9205587_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR920/007/SRR9205587	am_0224_0086_f6
PRJNA544527	SAMN11846069	SRX5976897	SRR9205588	239935	Akkermansia muciniphila	WGS	854656	236903779	ftp.sra.ebi.ac.uk/vol1/fastq/SRR920/008/SRR9205588/SRR9205588_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR920/008/SRR9205588/SRR9205588_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR920/008/SRR9205588	am_0224_0086_g1
PRJNA544527	SAMN11846624	SRX5976896	SRR9205589	28116	Bacteroides ovatus	WGS	872444	221611018	ftp.sra.ebi.ac.uk/vol1/fastq/SRR920/009/SRR9205589/SRR9205589_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR920/009/SRR9205589/SRR9205589_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR920/009/SRR9205589	af_0058_0037_c2
PRJNA544527	SAMN11846625	SRX5976895	SRR9205590	28116	Bacteroides ovatus	WGS	662442	168090488	ftp.sra.ebi.ac.uk/vol1/fastq/SRR920/000/SRR9205590/SRR9205590_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR920/000/SRR9205590/SRR9205590_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR920/000/SRR9205590	af_0058_0037_d2
PRJNA544527	SAMN11846626	SRX5976894	SRR9205591	28116	Bacteroides ovatus	WGS	383655	102133483	ftp.sra.ebi.ac.uk/vol1/fastq/SRR920/001/SRR9205591/SRR9205591_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR920/001/SRR9205591/SRR9205591_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR920/001/SRR9205591	af_0058_0037_e2
PRJNA544527	SAMN11846627	SRX5976893	SRR9205592	28116	Bacteroides ovatus	WGS	486357	130988964	ftp.sra.ebi.ac.uk/vol1/fastq/SRR920/002/SRR9205592/SRR9205592_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR920/002/SRR9205592/SRR9205592_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR920/002/SRR9205592	af_0058_0037_f2
PRJNA544527	SAMN11846620	SRX5976892	SRR9205593	28116	Bacteroides ovatus	WGS	2583662	625566021	ftp.sra.ebi.ac.uk/vol1/fastq/SRR920/003/SRR9205593/SRR9205593_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR920/003/SRR9205593/SRR9205593_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR920/003/SRR9205593	af_0058_0006_c3
PRJNA544527	SAMN11846621	SRX5976891	SRR9205594	28116	Bacteroides ovatus	WGS	11996291	2660888982	ftp.sra.ebi.ac.uk/vol1/fastq/SRR920/004/SRR9205594/SRR9205594_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR920/004/SRR9205594/SRR9205594_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR920/004/SRR9205594	af_0058_0006_f1
PRJNA544527	SAMN11846622	SRX5976890	SRR9205595	28116	Bacteroides ovatus	WGS	953218	230809119	ftp.sra.ebi.ac.uk/vol1/fastq/SRR920/005/SRR9205595/SRR9205595_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR920/005/SRR9205595/SRR9205595_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR920/005/SRR9205595	af_0058_0037_a2
